Gender,Age,Education,Occupation,State,Relationship_Status,Obligation_Rating,Obligation_Category,NEP,Vacation_Behaviour,Rest_and_relax,Luxury_be spoilt,Do_sports,excitement_a_challenge,Not_exceed_planned_budget,Realise_creativity,Fun_and_entertainment,Good_company,Health_and_beauty,Free_and_easy_going,Entertainment_facilities,Not_care_about_prices,Life_style_of_the_local_people,Intense_Experience_of_Nature,Cosiness_or_Familiar_Atmosphere,Maintain_Unspoilt_Surroundings,Everything_Organised,Unspoilt_Nature_or_Natural_Landscape,Cultural_Offers,Change_of_Surroundings,Income_Doller_k,Expenditure_Doller_k
Female,46,4,small business owner,NSW,married,3.267,Q1,3.533,2.684,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,78,1
Female,55,2,Clerical or service worker,QLD,married,3.700,Q2,4.200,4.071,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,78,78
Male,60,2,retired,VIC,married,3.600,Q2,4.133,3.345,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,78,1
Male,37,1,professional,VIC,,2.433,Q1,3.133,2.200,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,78,73
Male,56,8,Clerical or service worker,WA,married,4.033,Q3,4.267,3.667,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,79,35
Female,56,6,Clerical or service worker,QLD,married,4.400,Q4,4.467,3.433,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,79,83
Female,36,1,Clerical or service worker,VIC,living with a partner,4.267,Q4,4.067,3.857,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,81,5
Female,36,6,professional,NSW,separated or divorced,3.633,Q2,3.600,3.250,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,81,93
Male,52,2,small business owner,NSW,married,3.667,Q2,3.333,1.933,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,85,26
Female,63,6,sales,QLD,separated or divorced,4.233,Q4,3.467,3.038,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,85,75
Female,58,1,Clerical or service worker,VIC,separated or divorced,4.000,Q3,4.333,2.467,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,86,20
Male,62,3,transport worker,QLD,married,4.333,Q4,4.867,3.483,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,86,95
Female,59,2,home-duties,NSW,separated or divorced,3.300,Q1,4.267,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,87,27
Female,38,2,home-duties,VIC,separated or divorced,4.400,Q4,4.133,4.467,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,87,63
Female,42,1,home-duties,QLD,married,4.133,Q3,3.400,4.400,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,87,13
Male,39,4,professional,NSW,single,4.967,Q4,4.267,2.818,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,87,75
Female,58,8,manager or administrator,QLD,separated or divorced,4.300,Q4,4.267,2.586,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,87,10
Male,46,8,manager or administrator,NSW,married,4.000,Q3,4.067,2.630,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,87,92
Male,55,7,professional,WA,separated or divorced,4.367,Q4,4.467,3.167,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,88,13
Male,36,8,unemployed,WA,living with a partner,1.000,Q1,3.800,2.118,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,88,86
Male,60,8,manager or administrator,NSW,married,4.333,Q4,3.733,2.931,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,88,15
Female,41,6,home-duties,NSW,married,4.000,Q3,3.400,4.545,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,88,69
Female,41,1,home-duties,QLD,married,4.067,Q3,4.067,3.533,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,93,14
Female,36,3,Clerical or service worker,QLD,married,4.233,Q4,3.933,3.481,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,93,90
Female,55,2,retired,QLD,separated or divorced,4.600,Q4,4.200,3.852,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,97,32
Male,21,7,unemployed,NSW,single,3.333,Q1,2.333,2.261,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,97,86
Female,44,6,manager or administrator,WA,single,3.800,Q2,3.667,3.625,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,98,15
Female,55,8,home-duties,NSW,married,3.300,Q1,3.067,2.633,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,98,88
Female,61,8,professional,VIC,married,3.633,Q2,4.267,3.444,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,99,39
Female,38,7,Clerical or service worker,NSW,married,3.933,Q3,4.733,3.300,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,99,97
Female,61,7,professional,NSW,single,4.467,Q4,3.400,3.750,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,101,24
Male,64,8,professional,QLD,married,3.733,Q2,2.667,2.867,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,101,68
Female,59,2,,NSW,married,4.300,Q4,3.667,3.143,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,103,17
Female,38,1,labourer,VIC,married,3.500,Q2,4.400,3.000,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,103,85
Male,21,7,professional,NSW,single,3.800,Q2,3.600,3.077,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,103,23
Female,60,4,professional,SA,married,3.500,Q2,3.533,2.583,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,103,69
Female,58,3,home-duties,VIC,married,3.900,Q3,3.600,3.250,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,113,8
Female,74,1,sales,NSW,married,2.667,Q1,3.733,1.933,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,113,91
Female,58,1,retired,VIC,single,3.933,Q3,4.333,2.762,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,120,16
Male,45,2,manager or administrator,VIC,married,3.567,Q2,3.267,2.767,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,120,79
Female,39,3,manager or administrator,NSW,married,3.700,Q2,2.867,3.000,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,126,28
Male,57,3,Clerical or service worker,NSW,married,2.567,Q1,2.267,1.759,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,126,74
Female,39,7,manager or administrator,NSW,single,4.767,Q4,4.533,4.533,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,137,18
Female,84,2,Clerical or service worker,VIC,married,3.133,Q1,3.000,2.944,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,137,83
Male,27,7,professional,NSW,married,4.433,Q4,3.933,3.727,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,,
Male,47,3,,NSW,married,3.633,Q2,3.067,2.069,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,24,3,home-duties,VIC,married,4.433,Q4,3.333,1.931,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,,
Female,60,4,home-duties,VIC,single,4.433,Q4,3.333,3.000,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,,
Male,21,2,manager or administrator,NSW,single,3.533,Q2,3.467,2.200,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,55,6,retired,NSW,married,3.833,Q3,4.067,3.583,no,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,,
Male,23,6,manager or administrator,NSW,single,3.033,Q1,3.733,1.967,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Female,61,1,home-duties,QLD,married,3.767,Q2,3.467,2.857,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,,
Male,60,1,small business owner,QLD,married,3.933,Q3,3.400,3.400,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,,
Female,55,1,home-duties,QLD,married,3.967,Q3,4.133,3.056,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,,
Male,29,7,professional,NSW,single,3.400,Q2,3.267,2.478,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,,
Male,59,8,retired,WA,living with a partner,4.233,Q4,5.000,3.833,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,,
Female,49,6,Clerical or service worker,WA,married,3.733,Q2,3.600,2.692,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,,
Male,22,6,professional,SA,living with a partner,3.100,Q1,2.533,2.233,yes,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,,
Female,61,8,Clerical or service worker,VIC,single,2.733,Q1,2.933,2.318,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,,
Female,40,2,manager or administrator,NSW,married,3.367,Q1,3.267,1.966,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,,
Male,52,2,transport worker,SA,separated or divorced,4.033,Q3,4.200,3.667,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,,
Female,27,8,professional,NSW,married,3.867,Q3,3.133,3.000,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,56,7,professional,NSW,married,2.000,Q1,3.000,2.400,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,43,7,manager or administrator,NSW,living with a partner,3.533,Q2,3.067,,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,41,7,professional,NSW,married,3.500,Q2,3.400,2.731,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,,
Male,29,7,professional,NSW,single,3.067,Q1,4.200,2.545,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,,
Female,25,6,tradesperson,VIC,single,4.800,Q4,3.467,3.233,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,,
Male,35,8,manager or administrator,QLD,married,4.233,Q4,3.800,2.292,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,59,1,,VIC,married,4.233,Q4,3.733,3.571,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,,
Male,27,3,Clerical or service worker,VIC,single,4.000,Q3,3.067,2.967,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,42,6,professional,SA,married,4.767,Q4,3.200,4.200,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,,
Female,63,3,retired,WA,separated or divorced,3.167,Q1,4.067,3.045,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,,
Male,47,7,manager or administrator,NSW,living with a partner,2.700,Q1,2.733,3.103,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,,
Female,26,1,home-duties,VIC,married,3.867,Q3,3.733,2.636,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,,
Male,50,3,small business owner,VIC,single,3.400,Q2,3.067,2.938,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,,
Male,31,3,manager or administrator,ACT,living with a partner,2.967,Q1,4.200,2.733,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,,
Female,60,1,retired,NSW,married,3.533,Q2,3.067,3.412,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,36,3,,QLD,married,3.200,Q1,3.133,2.261,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,22,7,professional,NSW,single,3.667,Q2,4.000,3.040,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,59,7,small business owner,VIC,married,3.533,Q2,2.600,3.296,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,,
Female,31,7,professional,NSW,married,2.533,Q1,2.733,2.100,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,,
Male,37,7,labourer,QLD,married,3.333,Q1,2.467,2.267,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,,
Female,42,1,home-duties,WA,married,3.667,Q2,3.600,3.000,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,,
Male,33,7,professional,NSW,married,4.367,Q4,3.133,3.667,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,
Male,39,4,manager or administrator,VIC,married,3.433,Q2,4.200,2.630,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,,
Male,31,7,Clerical or service worker,SA,separated or divorced,4.600,Q4,4.133,4.100,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,,
Female,59,2,,NSW,married,3.433,Q2,2.133,2.450,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,,
Male,57,7,manager or administrator,NSW,separated or divorced,4.967,Q4,4.667,2.500,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,,
Male,41,6,tradesperson,QLD,single,3.433,Q2,4.200,2.033,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,,
Male,43,6,manager or administrator,WA,married,3.400,Q2,3.800,3.000,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,,
Male,33,3,labourer,SA,single,3.567,Q2,3.933,3.240,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,,
Male,23,6,sales,VIC,single,3.733,Q2,4.000,3.000,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,,
Male,53,6,Clerical or service worker,VIC,married,3.933,Q3,4.400,2.667,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,,
Female,65,3,retired,NSW,married,4.433,Q4,4.133,3.636,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,,
Male,48,3,home-duties,VIC,married,3.333,Q1,3.333,1.793,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,,
Female,63,3,retired,VIC,married,4.433,Q4,3.667,3.722,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,,
Female,36,7,professional,VIC,married,4.067,Q3,4.133,2.185,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,,
Female,51,8,small business owner,WA,married,3.967,Q3,3.600,3.538,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,,
Male,58,7,professional,NSW,married,4.700,Q4,3.200,3.300,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,53,4,Clerical or service worker,QLD,separated or divorced,4.267,Q4,4.467,3.619,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,66,4,retired,WA,married,3.667,Q2,2.667,3.037,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,no,,
Male,74,4,tradesperson,SA,married,2.933,Q1,3.467,1.900,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,38,3,professional,NSW,living with a partner,4.367,Q4,4.000,2.967,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,,
Male,34,7,professional,VIC,married,4.733,Q4,3.467,3.773,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,,
Male,58,4,manager or administrator,NSW,married,3.000,Q1,3.133,2.967,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,,
Female,40,4,small business owner,QLD,married,3.200,Q1,3.933,2.233,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,,
Female,55,4,,NSW,widowed,3.867,Q3,4.200,4.235,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,,
Male,30,4,manager or administrator,QLD,living with a partner,4.167,Q3,3.800,2.667,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,,
Male,42,2,professional,NSW,married,3.367,Q1,4.133,,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,58,3,professional,NSW,single,4.467,Q4,4.533,3.391,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Male,35,3,manager or administrator,QLD,single,4.267,Q4,3.467,2.667,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,58,1,Clerical or service worker,QLD,married,4.333,Q4,4.000,4.100,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,,
Female,70,2,professional,VIC,living with a partner,3.933,Q3,3.067,4.500,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,,
Female,60,7,manager or administrator,QLD,married,4.533,Q4,4.200,4.714,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Female,32,7,professional,ACT,single,4.267,Q4,3.733,3.045,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Male,20,1,Clerical or service worker,QLD,single,4.500,Q4,4.133,3.600,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,,
Male,22,6,sales,NSW,single,2.900,Q1,3.667,2.864,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,,
Male,56,7,sales,VIC,married,4.100,Q3,2.000,3.692,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,,
Male,62,6,tradesperson,VIC,married,4.000,Q3,3.200,2.967,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,55,2,Clerical or service worker,NSW,married,3.433,Q2,3.733,2.103,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,,
Male,61,8,professional,VIC,married,2.533,Q1,3.800,2.680,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,,
Male,56,7,manager or administrator,Tas,married,4.167,Q3,2.800,2.767,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,,
Female,42,6,Clerical or service worker,NSW,single,3.167,Q1,4.400,2.357,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,,
Male,38,8,unemployed,VIC,married,4.367,Q4,3.867,3.000,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,,
Male,40,7,manager or administrator,NSW,separated or divorced,2.233,Q1,2.467,1.926,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,,
Male,41,6,professional,NSW,married,3.967,Q3,4.533,2.920,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,,
Female,23,3,manager or administrator,VIC,single,4.067,Q3,3.867,2.654,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,,
Female,61,3,professional,VIC,living with a partner,3.167,Q1,3.267,3.800,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,,
Female,44,7,professional,QLD,married,1.900,Q1,4.067,3.533,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,,
Female,34,3,home-duties,NSW,living with a partner,4.367,Q4,3.733,3.609,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,,
Female,28,7,manager or administrator,QLD,single,2.600,Q1,2.667,1.913,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,,
Male,55,8,manager or administrator,VIC,single,4.000,Q3,3.600,2.700,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,,
Female,37,2,home-duties,QLD,living with a partner,3.100,Q1,3.667,3.048,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,,
Female,58,2,,NSW,married,3.900,Q3,3.400,4.000,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,,
Male,22,3,professional,QLD,living with a partner,4.333,Q4,4.267,2.700,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,43,3,professional,NSW,married,4.133,Q3,3.467,2.967,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,yes,yes,no,yes,no,yes,,
Male,20,3,manager or administrator,NSW,single,4.300,Q4,4.400,3.813,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,,
Female,61,3,manager or administrator,NSW,single,3.267,Q1,4.333,2.760,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,,
Male,56,8,manager or administrator,NSW,separated or divorced,2.800,Q1,2.867,2.367,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,,
Female,29,4,home-duties,QLD,living with a partner,3.333,Q1,3.333,2.615,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,58,8,professional,VIC,single,2.733,Q1,3.533,1.833,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,,
Male,28,7,sales,NSW,living with a partner,3.667,Q2,3.600,2.850,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,,
Male,25,8,manager or administrator,NSW,single,3.567,Q2,3.200,3.125,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,,
Male,59,2,unemployed,NSW,married,4.367,Q4,3.400,3.100,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,,
Male,33,8,manager or administrator,Tas,single,4.033,Q3,3.867,2.333,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,,
Male,51,3,professional,NSW,married,3.033,Q1,3.800,2.100,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Female,26,1,sales,VIC,separated or divorced,4.400,Q4,3.333,4.071,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,,
Male,59,,,NSW,widowed,3.367,Q1,4.600,2.500,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,,
Female,25,3,manager or administrator,NT,single,2.700,Q1,3.600,1.800,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,,
Male,33,6,unemployed,VIC,single,3.967,Q3,4.000,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,35,7,professional,QLD,single,3.700,Q2,3.800,3.267,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,,
Male,28,7,sales,WA,single,3.167,Q1,3.400,2.148,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,,
Female,21,7,Clerical or service worker,QLD,living with a partner,4.167,Q3,3.600,2.179,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,57,8,manager or administrator,NSW,married,3.967,Q3,3.667,3.296,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,,
Male,35,3,manager or administrator,SA,married,2.900,Q1,3.000,2.267,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,,
Male,32,4,tradesperson,VIC,married,3.333,Q1,4.267,2.966,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,,
Female,61,1,,VIC,widowed,4.167,Q3,3.667,3.000,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,19,3,Clerical or service worker,VIC,single,1.367,Q1,2.400,1.750,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Female,43,1,Clerical or service worker,VIC,separated or divorced,3.267,Q1,3.533,3.000,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,38,8,manager or administrator,NSW,married,3.700,Q2,3.800,2.478,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,,
Female,59,2,Clerical or service worker,NSW,married,3.700,Q2,3.933,3.267,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,,
Male,66,7,small business owner,NSW,separated or divorced,3.700,Q2,3.333,2.393,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,,
